num_triples,num_sinks,num_sinks_no_dup,num_sources,num_sources_no_dup,num_repeats,num_repeats_no_dup,best_auc,best_r1
4062,3329,2181,3329,2939,733,554,0.788525,0.235246 #it_1: bioportal 4000triples 2part
3957,3936,2118,3936,3893,21,12,0.749158,0.118687 #it_1: dbsnp 4000triples 2part
3946,3744,2404,3744,3513,202,74,0.746622,0.0929054 #it_1: drugbank 4000triples 2part
3934,3875,2442,3875,3817,59,22,0.766497,0.0846024 #it_1: omim 4000triples 2part
3964,3859,2467,3859,3797,105,50,0.752101,0.0848739 #it_1: pharmgkb 4000triples 2part
3998,3275,2141,3275,2906,723,546,0.785,0.275 #it_2: bioportal 4000triples 2part
4056,4029,2148,4029,3983,27,14,0.776683,0.109195 #it_2: dbsnp 4000triples 2part
4197,4008,2496,4008,3745,189,82,0.75873,0.111905 #it_2: drugbank 4000triples 2part
4084,4042,2653,4042,3985,42,12,0.738173,0.0685155 #it_2: omim 4000triples 2part
4065,3969,2547,3969,3919,96,45,0.736885,0.0893443 #it_2: pharmgkb 4000triples 2part
4008,3264,2185,3264,2884,744,556,0.757475,0.228405 #it_3: bioportal 4000triples 2part
4017,3989,2168,3989,3956,28,21,0.756219,0.126036 #it_3: dbsnp 4000triples 2part
4005,3810,2369,3810,3583,195,68,0.774542,0.102329 #it_3: drugbank 4000triples 2part
3882,3831,2474,3831,3777,51,20,0.752144,0.0711835 #it_3: omim 4000triples 2part
4009,3921,2479,3921,3864,88,48,0.734219,0.083887 #it_3: pharmgkb 4000triples 2part
